1865    1865-06-11	3003
1896	1896-06-23	4834
1896	1896-06-23	4835
1896	1896-06-26	3782
1896	1896-06-26	5040
1896	1896-06-26	5041
1896	1896-06-26	5042
1896	1896-06-26	5043
1896	1896-06-26	5044
1896	1896-06-26	5054
1896	1896-10-06	2721
1896	1896-10-06	3734
1896	1896-10-06	3860
1896	1896-10-06	4134
1896	1896-10-06	4152
1896	1896-10-06	4218
1896	1896-10-06	4243
1896	1896-10-06	4244
1896	1896-10-06	4248
1896	1896-10-06	4266
1896	1896-10-06	4267
1896	1896-10-06	4816
1896	1896-10-06	5258
1896	1896-10-13	4219
1896	1896-10-13	4274
1896	1896-10-13	4278
1896	1896-10-13	4290
1896	1896-10-13	4296
1896	1896-10-13	4310
1896	1896-10-13	4317
1896	1896-10-13	4336
1896	1896-10-13	4339
1896	1896-10-13	4937
1896	1896-10-20	4276
1896	1896-10-20	4863
1896	1896-10-27	3588
1896	1896-10-27	4286
1896	1896-10-27	4300
1896	1896-10-27	4337
1896	1896-10-27	4348
1896	1896-10-27	4352
1896	1896-10-27	4375
1896	1896-10-27	4379
1896	1896-10-27	4385
1896	1896-10-27	4388
1896	1896-10-27	4397
1896	1896-10-27	4823
1896	1896-10-27	4871
1896	1896-10-27	4897
1896	1896-11-10	3483
1896	1896-11-10	3584
1896	1896-11-10	4391
1896	1896-11-10	4400
1896	1896-11-10	4418
1896	1896-11-10	4438
1896	1896-11-17	3593
1896	1896-11-17	3611
1896	1896-11-17	3643
1896	1896-11-17	3943
1896	1896-11-17	4002
1896	1896-11-17	4398
1896	1896-11-17	4424
1896	1896-11-17	4762
1896	1896-11-17	4927
1896	1896-11-17	5298
1896	1896-11-24	3545
1896	1896-11-24	3637
1896	1896-11-24	3645
1896	1896-11-24	3669
1896	1896-11-24	3690
1896	1896-11-24	3721
1896	1896-11-24	3722
1896	1896-11-24	3732
1896	1896-11-24	3783
1896	1896-11-24	3784
1896	1896-11-24	3857
1896	1896-11-24	4154
1896	1896-11-24	4354
1896	1896-11-24	4387
1896	1896-11-24	4390
1896	1896-11-24	4406
1896	1896-11-24	4434
1896	1896-11-24	4436
1896	1896-11-24	4437
1896	1896-11-24	4455
1896	1896-11-24	4456
1896	1896-11-24	4673
1896	1896-11-24	4822
1896	1896-11-24	4829
1896	1896-11-24	4864
1896	1896-11-25	3713
1896	1896-12-01	3696
1896	1896-12-01	3701
1896	1896-12-01	3726
1896	1896-12-01	3961
1896	1896-12-01	4386
1896	1896-12-01	4446
1896	1896-12-01	5052
1896	1896-12-01	5330
1896	1896-12-08	3520
1896	1896-12-08	3743
1896	1896-12-08	3754
1896	1896-12-08	3756
1896	1896-12-08	3773
1896	1896-12-08	3789
1896	1896-12-08	3791
1896	1896-12-08	3793
1896	1896-12-08	3811
1896	1896-12-08	4988
1896	1896-12-15	3822
1896	1896-12-15	3823
1896	1896-12-15	3824
1896	1896-12-15	3840
1896	1896-12-15	3855
1896	1896-12-15	3867
1896	1896-12-15	3871
1896	1896-12-19	3939
1896	1896-12-19	4073 4405
1896	1896-12-19	5013
1897	1897-01	5263
1897	1897-01-12	3947
1897	1897-01-12	3949
1897	1897-01-12	3970
1897	1897-01-12	3982
1897	1897-01-12	3987
1897	1897-01-12	3988
1897	1897-01-12	4254
1897	1897-01-12	4440
1897	1897-01-12	4444
1897	1897-01-12	4487
1897	1897-01-12	4543
1897	1897-01-12	5205
1897	1897-01-19	3219
1897	1897-01-19	3798
1897	1897-01-19	3813
1897	1897-01-19	3814
1897	1897-01-19	3972
1897	1897-01-19	3995
1897	1897-01-19	4006
1897	1897-01-19	4008
1897	1897-01-19	4035
1897	1897-01-19	4041
1897	1897-01-19	4045
1897	1897-01-19	4449
1897	1897-01-19	4467
1897	1897-01-19	4468
1897	1897-01-19	4793
1897	1897-01-19	4966
1897	1897-01-26	4051
1897	1897-01-26	4052
1897	1897-01-26	4070
1897	1897-01-26	4083
1897	1897-01-26	5027
1897	1897-02-02	4026
1897	1897-02-02	4027
1897	1897-02-02	4084
1897	1897-02-02	4085
1897	1897-02-02	4430
1897	1897-02-02	4445
1897	1897-02-02	4490
1897	1897-02-02	5428
1897	1897-02-05	3699
1897	1897-02-05	4050
1897	1897-02-05	4058
1897	1897-02-05	4060
1897	1897-02-05	4106
1897	1897-02-05	4113
1897	1897-02-05	4125
1897	1897-02-05	4141
1897	1897-02-05	4150
1897	1897-02-16	3900
1897	1897-02-16	4470
1897	1897-02-16	4769
1897	1897-02-16	5301
1897	1897-02-23	3487
1897	1897-02-23	3705
1897	1897-02-23	4124
1897	1897-02-23	4172
1897	1897-02-23	4174
1897	1897-02-23	4176
1897	1897-02-23	4227
1897	1897-02-23	4292
1897	1897-02-23	4678
1897	1897-03-02	4013
1897	1897-03-02	4158
1897	1897-03-02	4207
1897	1897-03-02	4211
1897	1897-03-02	4586
1897	1897-03-02	4718
1897	1897-03-02	4719
